selection_rank,name,source,session,duration_seconds,text_characters,annotation_pattern,expression,action,joint_speed_mean,joint_speed_p90,body_rotation_speed,body_rotation_p90,hand_rotation_speed,hand_rotation_p90,joint_positions_available,complexity_score,duration_bin,text_length_bin,complexity_bin
1,fbx_to_json_data_susu_retarget_maya/20250916/Human_0915_2-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,8.05,22,action-only,<unannotated>,托着下巴，做出倾听的姿态,0.01883704401552677,0.04784979671239853,0.01883704401552677,0.04784979671239853,0.027337417006492615,0.07802467793226242,False,0.764538857924072,q5of5,q4of5,q5of5
2,fbx_to_json_data_susu_retarget_maya/20250912/Human_0912_60-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250912,6.4,17,expression+action,偷笑,轻轻摆了摆手,0.018840786069631577,0.04027464985847473,0.018840786069631577,0.04027464985847473,0.024352891370654106,0.07181653380393982,False,0.6968529813860553,q3of5,q2of5,q4of5
3,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_58-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,7.55,24,expression-only,狡黠,<unannotated>,0.01549698505550623,0.038898762315511703,0.01549698505550623,0.038898762315511703,0.01817604899406433,0.05279518663883209,False,0.5357687453990956,q4of5,q5of5,q3of5
4,fbx_to_json_data_susu_retarget_maya/20250820/Human_0819_61-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250820,5.1,15,no-tags,<unannotated>,<unannotated>,0.01180372666567564,0.028487952426075935,0.01180372666567564,0.028487952426075935,0.012839596718549728,0.029030630365014076,False,0.2923151750972763,q2of5,q1of5,q2of5
5,fbx_to_json_data_susu_chonglu/20260115/Human_149_23_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,4.3,19,expression+action,眼神柔和,无动作,0.052513446658849716,0.11030744016170502,0.0018457443220540881,0.00382899958640337,0.0004019123734906316,0.0017327567329630256,True,0.00671732043327374,q1of5,q3of5,q1of5
6,fbx_to_json_data_susu_retarget_maya/20250911/Human_0910_151-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250911,7.75,21,action-only,<unannotated>,双手叉腰,0.020027389749884605,0.05890757590532303,0.020027389749884605,0.05890757590532303,0.027192505076527596,0.08331604301929474,False,0.8116126827216321,q4of5,q4of5,q5of5
7,fbx_to_json_data_susu_retarget_maya/20250904/Human_0904_106-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250904,7.85,18,expression-only,调皮,<unannotated>,0.013922617770731449,0.030835408717393875,0.013922617770731449,0.030835408717393875,0.020260512828826904,0.06041915342211723,False,0.5064544116100537,q5of5,q3of5,q3of5
8,fbx_to_json_data_susu_retarget_maya/20250910/Human_0908_144-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250910,3.35,15,action-only,<unannotated>,托着下巴做思考状,0.011813749559223652,0.0299649927765131,0.011813749559223652,0.0299649927765131,0.014351775869727135,0.0378083661198616,False,0.3387448732779473,q1of5,q1of5,q2of5
9,fbx_to_json_data_susu_retarget_maya/20250909/Human_0908_120-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250909,5.8,23,action-only,<unannotated>,双手托着下巴,0.019284885376691818,0.04815158247947693,0.019284885376691818,0.04815158247947693,0.022592144086956978,0.061445582658052444,False,0.6879535177200548,q3of5,q5of5,q4of5
10,fbx_to_json_data_susu_retarget_maya/20250903/Human_0901_270-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250903,4.6,16,expression+action,若有所思地看着用户,垂下眼睫,0.010648565366864204,0.024411041289567947,0.010648565366864204,0.024411041289567947,0.011938105337321758,0.030473658815026283,False,0.24325638868440425,q2of5,q2of5,q1of5
